no,baris,word,wordTotal,n,tf,idf,tf_idf
1,2,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
2,6,pada,38,1,0.026315789,5.883322388,0.154824273
3,7,saat,47,1,0.021276596,5.883322388,0.125177072
4,8,mudik,561,1,0.001782531,5.883322388,0.010487206
5,9,lebaran,77,1,0.012987013,5.883322388,0.076406784
6,10,booster,719,1,0.001390821,5.883322388,0.008182646
7,11,jadi,79,1,0.012658228,5.883322388,0.074472435
8,12,syarat,73,1,0.01369863,5.883322388,0.080593457
9,13,mudik,561,1,0.001782531,5.883322388,0.010487206
10,15,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
11,16,di,380,1,0.002631579,5.883322388,0.015482427
12,19,selamat,13,1,0.076923077,5.883322388,0.452563261
13,21,bagi,70,1,0.014285714,5.883322388,0.084047463
14,24,usia,41,1,0.024390244,5.883322388,0.143495668
15,25,tahun,122,1,0.008196721,5.883322388,0.048223954
16,26,ke,157,1,0.006369427,5.883322388,0.037473391
17,27,ata,31,1,0.032258065,5.883322388,0.189784593
18,32,pada,38,1,0.026315789,5.883322388,0.154824273
19,37,melaksanakan,78,1,0.012820513,5.883322388,0.07542721
20,38,giat,23,1,0.043478261,5.883322388,0.255796626
21,40,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
22,42,dosi,106,1,0.009433962,5.883322388,0.055503041
23,43,dengan,123,1,0.008130081,5.883322388,0.047831889
24,47,kesehatan,94,1,0.010638298,5.883322388,0.062588536
25,51,bagi,70,1,0.014285714,5.883322388,0.084047463
26,52,warga,102,1,0.009803922,5.883322388,0.057679631
27,53,masyarakat,125,1,0.008,5.883322388,0.047066579
28,54,yang,176,1,0.005681818,5.883322388,0.033427968
29,55,telah,38,1,0.026315789,5.883322388,0.154824273
30,56,melaksanakan,78,1,0.012820513,5.883322388,0.07542721
31,57,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
32,58,covid,328,1,0.00304878,5.883322388,0.017936959
33,59,di,380,1,0.002631579,5.883322388,0.015482427
34,64,rt,464,1,0.002155172,5.883322388,0.012679574
35,65,umat,26,1,0.038461538,5.883322388,0.22628163
36,66,islam,28,1,0.035714286,5.883322388,0.210118657
37,67,diam,24,1,0.041666667,5.883322388,0.245138433
38,68,saat,47,1,0.021276596,5.883322388,0.125177072
39,69,nataru,24,1,0.041666667,5.883322388,0.245138433
40,70,ppkm,25,1,0.04,5.883322388,0.235332896
41,71,dihapus,24,1,0.041666667,5.883322388,0.245138433
42,72,desjan,24,1,0.041666667,5.883322388,0.245138433
43,73,imlek,24,1,0.041666667,5.883322388,0.245138433
44,74,china,24,1,0.041666667,5.883322388,0.245138433
45,75,beba,25,1,0.04,5.883322388,0.235332896
46,76,amp,49,1,0.020408163,5.883322388,0.120067804
47,77,tni,42,1,0.023809524,5.883322388,0.140079104
48,78,polri,43,1,0.023255814,5.883322388,0.136821451
49,79,jadi,79,1,0.012658228,5.883322388,0.074472435
50,80,babu,24,1,0.041666667,5.883322388,0.245138433
51,81,bersihkan,24,1,0.041666667,5.883322388,0.245138433
52,82,klente,24,1,0.041666667,5.883322388,0.245138433
53,83,rt,464,1,0.002155172,5.883322388,0.012679574
54,84,percepatan,71,1,0.014084507,5.883322388,0.082863696
55,85,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
56,86,polr,136,1,0.007352941,5.883322388,0.043259723
57,87,kediri,11,1,0.090909091,5.883322388,0.53484749
58,88,dan,393,1,0.002544529,5.883322388,0.014970286
59,92,adalah,21,1,0.047619048,5.883322388,0.280158209
60,94,dan,393,1,0.002544529,5.883322388,0.014970286
61,97,menjadi,11,1,0.090909091,5.883322388,0.53484749
62,99,untuk,271,1,0.003690037,5.883322388,0.021709677
63,102,barat,27,1,0.037037037,5.883322388,0.217900829
64,105,percepatan,71,1,0.014084507,5.883322388,0.082863696
65,106,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
